SET   SYSTEM                                       UNIT              PBE          PBE-D3             MS2            SCAN          r2SCAN      SCAN-rVV10            MCML      MCML-rVV10      VCML-rVV10             REF
DBH24 r8reverse                                    [eV]           1.7535          1.7444          1.9169          1.8754          1.8790          1.8748          1.8823          1.8818          1.8643          1.8105
DBH24 r9forward                                    [eV]           1.9745          1.9761          1.9776          2.0016          1.9893          2.0007          1.8101          1.8095          1.8274          2.0845
DBH24 r9reverse                                    [eV]           1.3540          1.3553          1.3357          1.4230          1.4008          1.4224          1.2102          1.2098          1.2175          1.4232
DBH24 r10forward                                   [eV]          -0.2343         -0.2579          0.1356         -0.0625         -0.0354         -0.0721          0.1313          0.1242          0.1259          0.2905
DBH24 r10reverse                                   [eV]           0.3793          0.3553          0.3018          0.4927          0.5559          0.4830          0.2816          0.2748          0.3583          0.8499
DBH24 r11forward                                   [eV]           0.1247          0.1205          0.1916          0.0958          0.0955          0.0934          0.2649          0.2628          0.2372          0.4640
DBH24 r11reverse                                   [eV]          -0.0566         -0.0607          0.2111          0.1191          0.1153          0.1149          0.1366          0.1340          0.2141          0.5681
DBH24 r12forward                                   [eV]          -0.0461         -0.0551          0.0366         -0.1135         -0.1125         -0.1167          0.0366          0.0341          0.0525          0.1561
DBH24 r12reverse                                   [eV]           0.4157          0.4061          0.6095          0.5256          0.5330          0.5199          0.6611          0.6566          0.7046          0.7502
RE42  1-4-cyclohexadiene_2H2__cyclohexane          [eV]          -2.8838         -2.9711         -3.2987         -3.1222         -3.0270         -3.1501         -3.0932         -3.1147         -2.9678         -2.9387
RE42  CH4_NH3__HCN_3H2                             [eV]           3.5727          3.5734          3.7151          3.6274          3.5962          3.6329          3.4614          3.4637          3.2229          3.3203
RE42  CO2_3H2__methanol_H2O                        [eV]          -1.1750         -1.1878         -1.4823         -1.3032         -1.1825         -1.3104         -1.3243         -1.3301         -1.0134         -1.1707
RE42  CH4_2Cl2__CCl4_2H2                           [eV]           0.3760          0.3466          0.5404          0.1538          0.1727          0.1067          0.2746          0.2366          0.0986          0.1890
RE42  O2_H2__2OH                                   [eV]           1.1579          1.1578          0.4740          0.6426          0.7983          0.6471          0.4333          0.4388          0.6682          0.7384
RE42  CH4_CO2__2CO_2H2                             [eV]           3.8882          3.8927          3.6609          3.8014          3.7903          3.8121          3.2276          3.2338          3.1169          3.1102
RE42  CO_H2O__CO2_H2                               [eV]          -0.7178         -0.7201         -0.5167         -0.6424         -0.6651         -0.6476         -0.3920         -0.3959         -0.5219         -0.3053
RE42  CH4_H2O__methanol_H2                         [eV]           1.2776          1.2646          1.1451          1.2134          1.2776          1.2064          1.1192          1.1120          1.0596          1.3290
RE42  CO_2H2__methanol                             [eV]          -1.8928         -1.9079         -1.9990         -1.9456         -1.8476         -1.9581         -1.7164         -1.7260         -1.5353         -1.4760
RE42  oxirane_H2__ethene_H2O                       [eV]          -1.3537         -1.3412         -1.1102         -1.2945         -1.3577         -1.2829         -1.1092         -1.0967         -1.0532         -1.5594
RE42  CO_3H2__CH4_H2O                              [eV]          -3.1704         -3.1725         -3.1441         -3.1590         -3.1252         -3.1645         -2.8356         -2.8380         -2.5950         -2.8050
RE42  2N2_O2__2N2O                                 [eV]           0.3548          0.3486          1.3482          0.9332          0.7901          0.9199          1.5091          1.4993          1.4317          1.5665
RE42  O2_2H2__2H2O                                 [eV]          -5.0427         -5.0430         -4.7215         -5.0438         -4.9868         -5.0439         -4.6585         -4.6589         -4.5232         -5.4479
RE42  CO2_4H2__CH4_2H2O                            [eV]          -2.4526         -2.4524         -2.6274         -2.5166         -2.4601         -2.5169         -2.4435         -2.4421         -2.0730         -2.4997
RE42  1-3-cyclohexadiene__1-4-cyclohexadiene       [eV]           0.0147          0.0206          0.0109          0.0102          0.0172          0.0118          0.0049          0.0061          0.0108         -0.0125
RE42  2CO_O2__2CO2                                 [eV]          -6.4784         -6.4832         -5.7550         -6.3286         -6.3170         -6.3392         -5.4426         -5.4507         -5.5671         -6.0584
RE42  benzene_H2__1-4-cyclohexadiene               [eV]           0.1307          0.1001         -0.0516          0.0826          0.1645          0.0720          0.0205          0.0123          0.0959         -0.0115
RE42  CH4_2F2__CF4_2H2                             [eV]          -7.8922         -7.9035         -7.0382         -8.4535         -8.3851         -8.4796         -7.0385         -7.0620         -7.4387         -8.5954
RE42  3O2__2O3                                     [eV]           2.5681          2.5651          3.0857          3.6224          3.6043          3.6057          2.9657          2.9534          2.9608          2.9196
RE42  N2_2O2__2NO2                                 [eV]          -0.3797         -0.3830          0.3302          0.1985          0.1131          0.1838          0.4620          0.4510          0.3843          0.6217
RE42  propyne_H2__propene                          [eV]          -2.0818         -2.1023         -2.3625         -2.1589         -2.1177         -2.1682         -2.2266         -2.2338         -2.1402         -1.9952
RE42  N2_3H2__2NH3                                 [eV]          -2.1278         -2.1288         -1.9385         -2.1105         -2.0945         -2.1162         -1.7331         -1.7378         -1.4509         -1.6773
RE42  CH4_CO_H2__ethanol                           [eV]          -1.2921         -1.3370         -1.3807         -1.3841         -1.2696         -1.4092         -1.2027         -1.2240         -1.0634         -0.9071
RE42  methylamine_H2__CH4_NH3                      [eV]          -1.1423         -1.1265         -1.0984         -1.1182         -1.1541         -1.1101         -1.0555         -1.0474         -0.9920         -1.1464
RE42  N2_2H2__N2H4                                 [eV]          -0.1255         -0.1372         -0.0394         -0.0754         -0.0475         -0.0887          0.1480          0.1379          0.3561          0.4078
RE42  O2_4HCl__2Cl2_2H2O                           [eV]          -1.3647         -1.3654         -1.1539         -1.1568         -1.1124         -1.1730         -1.2760         -1.2881         -1.2247         -1.5149
RE42  allene_2H2__propane                          [eV]          -3.5415         -3.5869         -3.9782         -3.7485         -3.6539         -3.7669         -3.7341         -3.7484         -3.5972         -3.6400
RE42  propene_H2__propane                          [eV]          -1.5882         -1.6132         -1.7684         -1.6878         -1.6437         -1.6971         -1.6671         -1.6743         -1.6017         -1.5760
RE42  CO_H2O__formic-acid                          [eV]          -0.8724         -0.8860         -0.8843         -0.9072         -0.8232         -0.9215         -0.7272         -0.7378         -0.7306         -0.3932
RE42  ethanol__dimethylether                       [eV]           0.4986          0.4996          0.3568          0.4533          0.4993          0.4527          0.4292          0.4289          0.4056          0.5346
RE42  ethyne_H2__ethene                            [eV]          -2.2556         -2.2634         -2.5039         -2.3095         -2.2752         -2.3161         -2.3553         -2.3561         -2.2688         -2.0966
RE42  4CO_9H2__transbutane_4H2O                    [eV]         -10.3950        -10.5023        -10.2460        -10.4283        -10.2366        -10.4883         -9.2704         -9.3171         -8.4532         -9.0032
RE42  ketene_2H2__ethene_H2O                       [eV]          -1.7191         -1.7189         -1.8924         -1.7472         -1.7247         -1.7471         -1.7432         -1.7392         -1.5629         -1.9250
RE42  isobutane__transbutane                       [eV]           0.0332          0.0461          0.0438          0.0568          0.0563          0.0608          0.0611          0.0641          0.0575          0.0768
RE42  N2_O2__2NO                                   [eV]           1.8900          1.8900          1.8664          1.9207          1.9688          1.9222          1.8962          1.8963          1.8660          1.8808
RE42  CH4_CO2__acetic-acid                         [eV]           0.2585          0.2176          0.0695          0.0854          0.2040          0.0627         -0.0198         -0.0392          0.0749          0.2849
RE42  2OH_H2__2H2O                                 [eV]          -6.2006         -6.2008         -5.1955         -5.6864         -5.7851         -5.6910         -5.0918         -5.0977         -5.1914         -6.1863
RE42  H2_O2__H2O2                                  [eV]          -1.5225         -1.5272         -1.5617         -1.4632         -1.3844         -1.4694         -1.5709         -1.5755         -1.4174         -1.6802
RE42  thioethanol_H2__H2S_ethane                   [eV]          -0.7476         -0.7224         -0.7747         -0.7210         -0.7282         -0.7062         -0.6757         -0.6645         -0.6189         -0.7097
RE42  2methanol_O2__2CO2_4H2                       [eV]          -2.6927         -2.6674         -1.7569         -2.4375         -2.6217         -2.4230         -2.0098         -1.9986         -2.4964         -3.1064
RE42  2CO_2NO__2CO2_N2                             [eV]          -8.3683         -8.3732         -7.6214         -8.2493         -8.2858         -8.2614         -7.3388         -7.3470         -7.4330         -7.9393
RE42  SO2_3H2__H2S_2H2O                            [eV]          -2.3082         -2.3055         -2.1967         -2.2749         -2.3105         -2.2664         -2.0985         -2.0925         -1.8366         -2.6205
S66x8 AcNH2AcNH2_combined_0.9                      [eV]          -0.6114         -0.6897         -0.6358         -0.7308         -0.6826         -0.7609         -0.6061         -0.6301         -0.5667         -0.6650
S66x8 AcNH2AcNH2_combined_0.95                     [eV]          -0.6534         -0.7297         -0.6794         -0.7576         -0.7153         -0.7860         -0.6613         -0.6841         -0.6298         -0.7101
S66x8 AcNH2AcNH2_combined_1.0                      [eV]          -0.6605         -0.7343         -0.6860         -0.7514         -0.7144         -0.7782         -0.6760         -0.6975         -0.6523         -0.7181
S66x8 AcNH2AcNH2_combined_1.05                     [eV]          -0.6453         -0.7163         -0.6691         -0.7245         -0.6922         -0.7497         -0.6648         -0.6851         -0.6486         -0.7020
S66x8 AcNH2AcNH2_combined_1.1                      [eV]          -0.6167         -0.6847         -0.6380         -0.6855         -0.6573         -0.7092         -0.6382         -0.6574         -0.6288         -0.6711
S66x8 AcNH2AcNH2_combined_1.25                     [eV]          -0.5002         -0.5605         -0.5134         -0.5440         -0.5257         -0.5634         -0.5241         -0.5400         -0.5292         -0.5440
S66x8 AcNH2AcNH2_combined_1.5                      [eV]          -0.3231         -0.3652         -0.3272         -0.3417         -0.3331         -0.3552         -0.3406         -0.3519         -0.3536         -0.3493
S66x8 AcNH2AcNH2_combined_2.0                      [eV]          -0.1211         -0.1332         -0.1208         -0.1246         -0.1228         -0.1302         -0.1221         -0.1270         -0.1287         -0.1310
S66x8 AcNH2Uracil_combined_0.9                     [eV]          -0.7224         -0.8122         -0.7475         -0.8581         -0.8069         -0.8936         -0.7236         -0.7523         -0.6870         -0.7884
S66x8 AcNH2Uracil_combined_0.95                    [eV]          -0.7686         -0.8560         -0.7969         -0.8882         -0.8427         -0.9219         -0.7807         -0.8080         -0.7509         -0.8374
S66x8 AcNH2Uracil_combined_1.0                     [eV]          -0.7785         -0.8631         -0.8074         -0.8838         -0.8436         -0.9157         -0.7991         -0.8250         -0.7764         -0.8481
S66x8 AcNH2Uracil_combined_1.05                    [eV]          -0.7647         -0.8461         -0.7924         -0.8574         -0.8217         -0.8876         -0.7901         -0.8147         -0.7743         -0.8333
S66x8 AcNH2Uracil_combined_1.1                     [eV]          -0.7358         -0.8139         -0.7616         -0.8174         -0.7858         -0.8458         -0.7637         -0.7870         -0.7543         -0.8023
S66x8 AcNH2Uracil_combined_1.25                    [eV]          -0.6116         -0.6803         -0.6295         -0.6661         -0.6446         -0.6898         -0.6405         -0.6602         -0.6460         -0.6672
S66x8 AcNH2Uracil_combined_1.5                     [eV]          -0.4115         -0.4621         -0.4193         -0.4378         -0.4265         -0.4549         -0.4338         -0.4482         -0.4487         -0.4475
S66x8 AcNH2Uracil_combined_2.0                     [eV]          -0.1874         -0.2072         -0.1891         -0.1952         -0.1912         -0.2037         -0.1921         -0.1996         -0.2022         -0.2034
S66x8 AcOHAcOH_combined_0.9                        [eV]          -0.7721         -0.8401         -0.8290         -0.9527         -0.8939         -0.9831         -0.8182         -0.8424         -0.7761         -0.7792
S66x8 AcOHAcOH_combined_0.95                       [eV]          -0.8197         -0.8871         -0.8805         -0.9789         -0.9270         -1.0078         -0.8631         -0.8863         -0.8289         -0.8338
S66x8 AcOHAcOH_combined_1.0                        [eV]          -0.8246         -0.8912         -0.8840         -0.9647         -0.9188         -0.9921         -0.8687         -0.8907         -0.8404         -0.8443
S66x8 AcOHAcOH_combined_1.05                       [eV]          -0.8024         -0.8678         -0.8573         -0.9254         -0.8849         -0.9515         -0.8542         -0.8751         -0.8316         -0.8260
S66x8 AcOHAcOH_combined_1.1                        [eV]          -0.7638         -0.8275         -0.8128         -0.8715         -0.8361         -0.8961         -0.8207         -0.8405         -0.8041         -0.7901
S66x8 AcOHAcOH_combined_1.25                       [eV]          -0.6112         -0.6687         -0.6426         -0.6829         -0.6594         -0.7035         -0.6642         -0.6810         -0.6619         -0.6390
S66x8 AcOHAcOH_combined_1.5                        [eV]          -0.3821         -0.4285         -0.3947         -0.4166         -0.4051         -0.4315         -0.4181         -0.4305         -0.4278         -0.4028
S66x8 AcOHAcOH_combined_2.0                        [eV]          -0.1480         -0.1670         -0.1490         -0.1554         -0.1524         -0.1628         -0.1575         -0.1639         -0.1668         -0.1566
S66x8 AcOHUracil_combined_0.9                      [eV]          -0.7556         -0.8385         -0.7988         -0.9127         -0.8580         -0.9475         -0.7820         -0.8101         -0.7433         -0.7988
S66x8 AcOHUracil_combined_0.95                     [eV]          -0.8030         -0.8841         -0.8495         -0.9412         -0.8930         -0.9742         -0.8342         -0.8610         -0.8029         -0.8513
S66x8 AcOHUracil_combined_1.0                      [eV]          -0.8104         -0.8895         -0.8562         -0.9322         -0.8896         -0.9635         -0.8474         -0.8729         -0.8224         -0.8619
S66x8 AcOHUracil_combined_1.05                     [eV]          -0.7921         -0.8687         -0.8349         -0.8993         -0.8615         -0.9290         -0.8353         -0.8595         -0.8168         -0.8451
S66x8 AcOHUracil_combined_1.1                      [eV]          -0.7578         -0.8315         -0.7965         -0.8518         -0.8187         -0.8799         -0.8039         -0.8268         -0.7916         -0.8108
S66x8 AcOHUracil_combined_1.25                     [eV]          -0.6171         -0.6823         -0.6428         -0.6802         -0.6577         -0.7036         -0.6605         -0.6798         -0.6632         -0.6645
S66x8 AcOHUracil_combined_1.5                      [eV]          -0.3993         -0.4495         -0.4101         -0.4290         -0.4183         -0.4460         -0.4300         -0.4442         -0.4433         -0.4316
S66x8 AcOHUracil_combined_2.0                      [eV]          -0.1674         -0.1875         -0.1690         -0.1744         -0.1714         -0.1829         -0.1748         -0.1821         -0.1850         -0.1812
S66x8 BenzeneAcNH2NHpi_combined_0.9                [eV]          -0.0584         -0.1634         -0.1070         -0.1438         -0.1250         -0.1768         -0.1424         -0.1691         -0.1479         -0.1669
S66x8 BenzeneAcNH2NHpi_combined_0.95               [eV]          -0.0891         -0.1874         -0.1297         -0.1622         -0.1471         -0.1928         -0.1662         -0.1910         -0.1762         -0.1873
S66x8 BenzeneAcNH2NHpi_combined_1.0                [eV]          -0.1034         -0.1953         -0.1369         -0.1652         -0.1530         -0.1934         -0.1735         -0.1966         -0.1867         -0.1911
S66x8 BenzeneAcNH2NHpi_combined_1.05               [eV]          -0.1077         -0.1930         -0.1348         -0.1589         -0.1493         -0.1849         -0.1706         -0.1919         -0.1861         -0.1852
S66x8 BenzeneAcNH2NHpi_combined_1.1                [eV]          -0.1060         -0.1841         -0.1276         -0.1476         -0.1403         -0.1715         -0.1616         -0.1813         -0.1786         -0.1738
S66x8 BenzeneAcNH2NHpi_combined_1.25               [eV]          -0.0859         -0.1414         -0.0959         -0.1071         -0.1037         -0.1254         -0.1216         -0.1370         -0.1389         -0.1303
S66x8 BenzeneAcNH2NHpi_combined_1.5                [eV]          -0.0500         -0.0777         -0.0520         -0.0558         -0.0549         -0.0672         -0.0633         -0.0733         -0.0759         -0.0723
S66x8 BenzeneAcNH2NHpi_combined_2.0                [eV]          -0.0144         -0.0210         -0.0143         -0.0148         -0.0148         -0.0190         -0.0147         -0.0185         -0.0192         -0.0213
S66x8 BenzeneAcOH_combined_0.9                     [eV]           0.0778         -0.0838         -0.0212         -0.0704         -0.0431         -0.1202         -0.1006         -0.1405         -0.1127         -0.1167
S66x8 BenzeneAcOH_combined_0.95                    [eV]           0.0109         -0.1373         -0.0654         -0.1103         -0.0900         -0.1554         -0.1427         -0.1790         -0.1610         -0.1553
S66x8 BenzeneAcOH_combined_1.0                     [eV]          -0.0246         -0.1574         -0.0822         -0.1213         -0.1063         -0.1620         -0.1545         -0.1875         -0.1771         -0.1647
S66x8 BenzeneAcOH_combined_1.05                    [eV]          -0.0418         -0.1590         -0.0844         -0.1171         -0.1061         -0.1538         -0.1498         -0.1797         -0.1748         -0.1587
S66x8 BenzeneAcOH_combined_1.1                     [eV]          -0.0485         -0.1513         -0.0794         -0.1059         -0.0979         -0.1388         -0.1367         -0.1637         -0.1628         -0.1454
S66x8 BenzeneAcOH_combined_1.25                    [eV]          -0.0433         -0.1101         -0.0538         -0.0660         -0.0627         -0.0895         -0.0865         -0.1063         -0.1101         -0.0980
S66x8 BenzeneAcOH_combined_1.5                     [eV]          -0.0224         -0.0509         -0.0234         -0.0259         -0.0248         -0.0388         -0.0304         -0.0418         -0.0445         -0.0451
S66x8 BenzeneAcOH_combined_2.0                     [eV]          -0.0057         -0.0119         -0.0058         -0.0061         -0.0059         -0.0102         -0.0055         -0.0092         -0.0098         -0.0118
S66x8 BenzeneAcOHOHpi_combined_0.9                 [eV]          -0.0466         -0.1624         -0.1276         -0.1666         -0.1453         -0.2051         -0.2032         -0.2343         -0.2108         -0.1735
S66x8 BenzeneAcOHOHpi_combined_0.95                [eV]          -0.0866         -0.1950         -0.1525         -0.1886         -0.1718         -0.2239         -0.2239         -0.2526         -0.2350         -0.2000
S66x8 BenzeneAcOHOHpi_combined_1.0                 [eV]          -0.1051         -0.2062         -0.1578         -0.1906         -0.1775         -0.2229         -0.2241         -0.2505         -0.2379         -0.2054
S66x8 BenzeneAcOHOHpi_combined_1.05                [eV]          -0.1109         -0.2041         -0.1524         -0.1816         -0.1714         -0.2110         -0.2130         -0.2372         -0.2288         -0.1987
S66x8 BenzeneAcOHOHpi_combined_1.1                 [eV]          -0.1092         -0.1940         -0.1416         -0.1670         -0.1591         -0.1938         -0.1962         -0.2184         -0.2135         -0.1857
S66x8 BenzeneAcOHOHpi_combined_1.25                [eV]          -0.0876         -0.1472         -0.1019         -0.1166         -0.1133         -0.1367         -0.1389         -0.1558         -0.1568         -0.1369
S66x8 BenzeneAcOHOHpi_combined_1.5                 [eV]          -0.0507         -0.0810         -0.0535         -0.0578         -0.0577         -0.0700         -0.0675         -0.0781         -0.0807         -0.0747
S66x8 BenzeneAcOHOHpi_combined_2.0                 [eV]          -0.0167         -0.0244         -0.0169         -0.0172         -0.0176         -0.0217         -0.0172         -0.0214         -0.0220         -0.0245
S66x8 BenzeneBenzeneTS_combined_0.9                [eV]           0.0981         -0.0408          0.0291         -0.0022          0.0178         -0.0474         -0.0164         -0.0530         -0.0302         -0.0718
S66x8 BenzeneBenzeneTS_combined_0.95               [eV]           0.0322         -0.0957         -0.0211         -0.0499         -0.0346         -0.0906         -0.0670         -0.1002         -0.0860         -0.1129
S66x8 BenzeneBenzeneTS_combined_1.0                [eV]          -0.0032         -0.1185         -0.0434         -0.0681         -0.0569         -0.1047         -0.0872         -0.1172         -0.1097         -0.1257
S66x8 BenzeneBenzeneTS_combined_1.05               [eV]          -0.0211         -0.1236         -0.0508         -0.0710         -0.0629         -0.1038         -0.0907         -0.1178         -0.1151         -0.1237
S66x8 BenzeneBenzeneTS_combined_1.1                [eV]          -0.0291         -0.1196         -0.0505         -0.0661         -0.0606         -0.0955         -0.0854         -0.1099         -0.1106         -0.1146
S66x8 BenzeneBenzeneTS_combined_1.25               [eV]          -0.0289         -0.0887         -0.0357         -0.0421         -0.0400         -0.0631         -0.0550         -0.0729         -0.0771         -0.0782
S66x8 BenzeneBenzeneTS_combined_1.5                [eV]          -0.0151         -0.0417         -0.0154         -0.0161         -0.0157         -0.0281         -0.0191         -0.0296         -0.0321         -0.0371
S66x8 BenzeneBenzeneTS_combined_2.0                [eV]          -0.0036         -0.0100         -0.0036         -0.0034         -0.0037         -0.0075         -0.0032         -0.0070         -0.0076         -0.0103
S66x8 BenzeneBenzenepipi_combined_0.9              [eV]           0.2758          0.0444          0.1367          0.0814          0.1183          0.0087          0.0111         -0.0469         -0.0119         -0.0046
S66x8 BenzeneBenzenepipi_combined_0.95             [eV]           0.1489         -0.0581          0.0431         -0.0092          0.0176         -0.0743         -0.0758         -0.1280         -0.1043         -0.0874
S66x8 BenzeneBenzenepipi_combined_1.0              [eV]           0.0777         -0.1036         -0.0008         -0.0469         -0.0279         -0.1048         -0.1099         -0.1567         -0.1421         -0.1182
S66x8 BenzeneBenzenepipi_combined_1.05             [eV]           0.0384         -0.1184         -0.0186         -0.0571         -0.0439         -0.1085         -0.1158         -0.1578         -0.1500         -0.1220
S66x8 BenzeneBenzenepipi_combined_1.1              [eV]           0.0171         -0.1172         -0.0231         -0.0543         -0.0451         -0.0997         -0.1077         -0.1451         -0.1421         -0.1130
S66x8 BenzeneBenzenepipi_combined_1.25             [eV]          -0.0013         -0.0801         -0.0130         -0.0263         -0.0234         -0.0568         -0.0596         -0.0854         -0.0889         -0.0684
S66x8 BenzeneBenzenepipi_combined_1.5              [eV]           0.0010         -0.0275          0.0008         -0.0007         -0.0004         -0.0155         -0.0084         -0.0215         -0.0242         -0.0223
S66x8 BenzeneBenzenepipi_combined_2.0              [eV]           0.0018         -0.0036          0.0020          0.0021          0.0021         -0.0019          0.0020         -0.0016         -0.0021         -0.0031
S66x8 BenzeneCyclopentane_combined_0.9             [eV]           0.1458         -0.0660          0.0506         -0.0067          0.0211         -0.0717         -0.0101         -0.0622         -0.0301         -0.0929
S66x8 BenzeneCyclopentane_combined_0.95            [eV]           0.0638         -0.1294         -0.0109         -0.0613         -0.0402         -0.1202         -0.0737         -0.1212         -0.1011         -0.1406
S66x8 BenzeneCyclopentane_combined_1.0             [eV]           0.0164         -0.1560         -0.0403         -0.0825         -0.0670         -0.1355         -0.1013         -0.1444         -0.1337         -0.1554
S66x8 BenzeneCyclopentane_combined_1.05            [eV]          -0.0091         -0.1609         -0.0507         -0.0846         -0.0736         -0.1320         -0.1072         -0.1459         -0.1422         -0.1514
S66x8 BenzeneCyclopentane_combined_1.1             [eV]          -0.0212         -0.1541         -0.0510         -0.0775         -0.0697         -0.1198         -0.1011         -0.1360         -0.1368         -0.1385
S66x8 BenzeneCyclopentane_combined_1.25            [eV]          -0.0251         -0.1094         -0.0344         -0.0453         -0.0426         -0.0753         -0.0637         -0.0890         -0.0946         -0.0908
S66x8 BenzeneCyclopentane_combined_1.5             [eV]          -0.0122         -0.0479         -0.0123         -0.0137         -0.0133         -0.0304         -0.0191         -0.0337         -0.0373         -0.0398
S66x8 BenzeneCyclopentane_combined_2.0             [eV]          -0.0017         -0.0092         -0.0014         -0.0014         -0.0014         -0.0065         -0.0011         -0.0058         -0.0066         -0.0086
S66x8 BenzeneEthene_combined_0.9                   [eV]           0.1349          0.0021          0.0542          0.0231          0.0472         -0.0149         -0.0273         -0.0573         -0.0334         -0.0048
S66x8 BenzeneEthene_combined_0.95                  [eV]           0.0738         -0.0446          0.0122         -0.0166          0.0010         -0.0507         -0.0659         -0.0930         -0.0769         -0.0445
S66x8 BenzeneEthene_combined_1.0                   [eV]           0.0396         -0.0639         -0.0063         -0.0313         -0.0186         -0.0617         -0.0785         -0.1029         -0.0929         -0.0585
S66x8 BenzeneEthene_combined_1.05                  [eV]           0.0208         -0.0682         -0.0124         -0.0330         -0.0241         -0.0600         -0.0771         -0.0989         -0.0936         -0.0592
S66x8 BenzeneEthene_combined_1.1                   [eV]           0.0108         -0.0650         -0.0125         -0.0289         -0.0226         -0.0527         -0.0689         -0.0883         -0.0862         -0.0536
S66x8 BenzeneEthene_combined_1.25                  [eV]           0.0029         -0.0415         -0.0038         -0.0104         -0.0084         -0.0266         -0.0355         -0.0491         -0.0512         -0.0300
S66x8 BenzeneEthene_combined_1.5                   [eV]           0.0040         -0.0129          0.0041          0.0036          0.0039         -0.0047         -0.0031         -0.0103         -0.0120         -0.0079
S66x8 BenzeneEthene_combined_2.0                   [eV]           0.0029         -0.0003          0.0031          0.0033          0.0033          0.0010          0.0031          0.0011          0.0007          0.0003
S66x8 BenzeneEthyneCHpi_combined_0.9               [eV]           0.0156         -0.0623         -0.0367         -0.0556         -0.0395         -0.0807         -0.0649         -0.0849         -0.0653         -0.0801
S66x8 BenzeneEthyneCHpi_combined_0.95              [eV]          -0.0308         -0.1055         -0.0712         -0.0894         -0.0773         -0.1120         -0.1005         -0.1187         -0.1064         -0.1143
S66x8 BenzeneEthyneCHpi_combined_1.0               [eV]          -0.0526         -0.1223         -0.0832         -0.0990         -0.0903         -0.1193         -0.1118         -0.1282         -0.1217         -0.1242
S66x8 BenzeneEthyneCHpi_combined_1.05              [eV]          -0.0609         -0.1242         -0.0835         -0.0966         -0.0904         -0.1148         -0.1098         -0.1246         -0.1223         -0.1214
S66x8 BenzeneEthyneCHpi_combined_1.1               [eV]          -0.0619         -0.1185         -0.0781         -0.0883         -0.0841         -0.1046         -0.1011         -0.1144         -0.1149         -0.1124
S66x8 BenzeneEthyneCHpi_combined_1.25              [eV]          -0.0491         -0.0881         -0.0545         -0.0584         -0.0570         -0.0700         -0.0662         -0.0758         -0.0790         -0.0781
S66x8 BenzeneEthyneCHpi_combined_1.5               [eV]          -0.0263         -0.0433         -0.0269         -0.0274         -0.0273         -0.0338         -0.0282         -0.0337         -0.0355         -0.0392
S66x8 BenzeneEthyneCHpi_combined_2.0               [eV]          -0.0081         -0.0118         -0.0083         -0.0086         -0.0087         -0.0107         -0.0080         -0.0099         -0.0102         -0.0120
S66x8 BenzeneMeNH2NHpi_combined_0.9                [eV]           0.0313         -0.1006         -0.0355         -0.0763         -0.0570         -0.1131         -0.0964         -0.1256         -0.1027         -0.1066
S66x8 BenzeneMeNH2NHpi_combined_0.95               [eV]          -0.0122         -0.1347         -0.0651         -0.1021         -0.0872         -0.1357         -0.1247         -0.1515         -0.1359         -0.1323
